Category,Unit,Process,Total  eco-costs  (euro),eco-costs of human health (euro),eco-costs of exo-tocicity (euro ),eco-costs of resource (scarcity   euro),eco-costs of carbon  (footprint euro),eco-costs of Acidification (euro ),eco-costs of Eutrophication (euro ),eco-costs of Photochemical (oxidants   euro ),eco-costs of Fine dust (euro ),eco-costs of Human tocicity (cancer        euro ),eco-costs of Human tocicity (non-canc  euro),eco-costs of Ecotoxicity  (freshwater euro ),eco-costs of Metals Scarcity (euro ),eco-costs of fossil products (              euro),eco-costs of uranium (euro ),eco-costs of land-use (euro ),eco-costs of Baseline Water (Stress       euro ),eco-costs of Landfill ( euro ),Carbon footprint (kg CO2 equiv.),CED (Total) (MJ),Non-renewable fossil (MJ),Non-renewable nuclear (MJ),Non-renewable biomass (MJ),Renewable biomass (MJ),"Renewable wind, solar, geo (MJ)",Renewable water (MJ),ReCiPe2016 endpoint (Pt) (World(2010) H/A),ReCiPe human health (Pt),ReCiPe ecotoxixity (Pt),ReCiPe resources (Pt),ReCiPe human health (DALY),ReCiPe ecotoxixity (species.year),ReCiPe resources (USD2013),"Global warming,  Human health (DALY)","Global warming,  Terrestrial ecosystems (species.year)","Global warming,  Freshwater ecosystems (species.year)",Stratospheric  ozone depletion (DALY),Ionizing  radiation (DALY),"Ozone formation,  Human health (DALY)",Fine particulate  matter formation (DALY),"Ozone formation,  Terrestrial ecosystems (species.year)",Terrestrial  acidification (species.year),Freshwater  eutrophication (species.year),Marine  eutrophication (species.year),Terrestrial  ecotoxicity (species.year),Freshwater  ecotoxicity (species.year),Marine  ecotoxicity (species.year),Human  carcinogenic toxicity (DALY),Human  non-carcinogenic toxicity (DALY),Land use . (species.year),mineral resource  scarcity (USD2013),Fossil resource  scarcity (USD2013),"Water consumption,  Human health (DALY)","Water consumption,  Terrestrial ecosystem (species.year)","Water consumption,  Aquatic ecosystems (species.year)",EF 3.1 Total (Pt),Acidification  (Pt),Climate change  (Pt),Ecotoxicity freshwater (Pt),Particulate  matter (Pt),"Eutrophication,  marine (Pt)","Eutrophication,  freshwater (Pt)","Eutrophication,  terrestrial (Pt)","Human toxicity,  cancer (Pt)","Human toxicity, non-cancer non-cancer (Pt)",Ionising radiation  (Pt),Land use  (Pt),Ozone depletion  (Pt),Photochemical ozone formation  (Pt),"Resource use,  fossils (Pt)","Resource use,  minerals+metals (Pt)",Water use  (Pt),Sources of LCI:
"Materials, agricultural, others",kg ,Soy meal at coast USA,"0,1075","0,0059","0,0177","0,0191","0,06482","0,0068667088","0,010380824","0,0045131165","0,00069686703","3,56E-05","0,00068158081","0,00050123416","0,00010911576","0,017382829","0,0015021373","0,000060399995","8,28E-07",0,"0,4874","5,8824828","5,5496503","0,20362917",0,"0,015625597","0,067758146","0,045819579","0,01157","0,01080","0,00049","0,00028","0,000000647319744","0,00000000182126181","0,0386571948","4,64E-07","1,40E-09","3,82E-14","2,15E-09","1,18E-12","6,71E-10","1,76E-07","1,03E-10","1,99E-10","1,95E-11","1,05E-13","7,40E-13","1,08E-14","1,93E-14","3,08E-10","4,40E-09","1,00E-10","0,0010335558","0,037623639","1,59E-11","9,67E-14","4,33E-18","2,80E-05","1,57E-06","0,000013588842","5,88E-08","1,63E-06","6,97E-07","5,04E-07","6,10E-07","4,78E-08","4,51E-07","8,79E-09","6,55E-08","1,16E-09","1,44E-06","6,88E-06","3,97E-07","2,28E-09",see box A.040.04
"Materials, agricultural, others",kg ,"Soy oil, refined at coast Brazil","1,6486","0,0080","0,0214","0,7970","0,82219","0,0080788879","0,012660271","0,0061022123","0,0009098044","4,66E-05","0,00092517438","0,00070598213","0,00031291395","0,028861496","0,0017538777","7,66E-01","5,64E-06",0,"6,1819","7,7119109","7,3258994","0,23775591",0,"0,018830124","0,07660148","0,052823931","0,10492","0,09970","0,00485","0,00038","0,000005977092516","0,00000001791865931","0,0534178188","5,75E-06","1,73E-08","4,74E-13","2,24E-09","1,51E-12","9,07E-10","2,17E-07","1,37E-10","2,47E-10","2,03E-11","1,12E-13","8,61E-13","1,48E-14","2,65E-14","3,66E-10","6,73E-09","1,65E-10","0,0011028078","0,052315011","1,09E-10","6,63E-13","2,97E-17","1,91E-04","1,98E-06","1,72E-04","8,28E-08","1,95E-06","8,64E-07","5,26E-07","8,54E-07","6,25E-08","6,12E-07","1,12E-08","1,08E-07","1,62E-09","1,81E-06","9,04E-06","4,39E-07","1,57E-08",see box A.040.04
"Materials, agricultural, others",kg ,"Soy oil, refined at coast USA","0,1126","0,0062","0,0185","0,0199","0,06799","0,0071732401","0,010825861","0,0047156652","0,00072834203","3,74E-05","0,00071423231","0,00052233816","0,00011680239","0,01809841","0,0016508153","0,000062896111","8,62E-07",0,"0,5112","6,1966446","5,8303095","0,22378375",0,"0,017265535","0,074918345","0,050367438","0,01212","0,01131","0,00052","0,00029","0,0000006781605388","0,000000001907974031","0,0404773503","4,86E-07","1,47E-09","4,01E-14","2,23E-09","1,24E-12","7,01E-10","1,84E-07","1,07E-10","2,08E-10","2,03E-11","1,10E-13","7,73E-13","1,13E-14","2,01E-14","3,22E-10","4,59E-09","1,04E-10","0,0010756973","0,039401653","1,65E-11","1,01E-13","4,50E-18","2,93E-05","1,64E-06","0,000014254045","6,12E-08","1,70E-06","7,27E-07","5,25E-07","6,37E-07","5,01E-08","4,73E-07","9,21E-09","6,82E-08","1,58E-09","1,50E-06","7,24E-06","4,15E-07","2,38E-09",see box A.040.04
"Materials, agricultural, others",kg ,"Soybean grain, harvested and transported to coast Brazil","1,5257","0,0053","0,0159","0,7496","0,75484","0,0045841397","0,010732257","0,0042421225","0,00050583711","2,56E-05","0,00054624939","0,00062086969","0,00025415684","0,0270718","0,00078430457","7,21E-01","5,31E-06",0,"5,6755","4,7959085","4,625611","0,10632127",0,"0,0085856493","0,031928025","0,023462503","0,09517","0,09046","0,00442","0,00029","0,000005423505753","0,00000001634417554","0,0403209929","5,28E-06","1,59E-08","4,35E-13","2,07E-09","8,66E-13","6,31E-10","1,37E-07","9,04E-11","1,56E-10","1,91E-11","1,05E-13","6,00E-13","1,14E-14","2,35E-14","1,99E-10","5,70E-09","1,54E-10","0,0010373789","0,039283614","1,03E-10","6,25E-13","2,80E-17","1,70E-04","1,29E-06","1,58E-04","7,28E-08","1,12E-06","7,18E-07","4,96E-07","6,58E-07","3,43E-08","3,61E-07","6,37E-09","1,00E-07","1,42E-10","9,28E-07","5,67E-06","3,97E-07","1,47E-08",see box A.040.04
"Materials, agricultural, others",kg ,"Soybean grain, harvested and transported to coast USA","0,0792","0,0036","0,0132","0,0178","0,04458","0,0037312523","0,0090047145","0,0029363515","0,00033494619","1,69E-05","0,00034759617","0,00044792426","0,000069470153","0,016935739","0,00068724633","0,000058232602","8,12E-07",0,"0,3352","3,368917","3,2171497","0,093163083",0,"0,0071122084","0,030342944","0,021149118","0,00777","0,00723","0,00034","0,00020","0,0000004332735609","0,00000000126622387","0,0281343967","3,21E-07","9,68E-10","2,64E-14","2,06E-09","6,08E-13","4,37E-10","1,06E-07","6,25E-11","1,20E-10","1,91E-11","1,03E-13","5,17E-13","8,07E-15","1,75E-14","1,58E-10","3,68E-09","9,67E-11","0,0010118477","0,027122549","1,56E-11","9,47E-14","4,24E-18","1,81E-05","9,72E-07","0,0000093466194","5,25E-08","8,81E-07","5,89E-07","4,94E-07","4,54E-07","2,27E-08","2,30E-07","4,47E-09","6,32E-08","1,04E-10","6,38E-07","3,97E-06","3,75E-07","2,24E-09",see box A.040.04
"Materials, agricultural, others",kg ,"Soybean oil, crude, degummed at coast Brazil","1,5845","0,0077","0,0206","0,7663","0,79005","0,0077421728","0,012151708","0,0058493903","0,00087182187","4,45E-05","0,00088487117","0,00067815424","2,98E-04","0,027743719","0,0016022527","7,37E-01","5,42E-06",0,"5,9402","7,3434522","6,9914748","0,2172018",0,"0,017140589","0,069422419","0,048212612","0,10081","0,09579","0,00466","0,00037","0,000005742884929","0,00000001721738445","0,0511261244","5,52E-06","1,67E-08","4,55E-13","2,16E-09","1,45E-12","8,70E-10","2,08E-07","1,31E-10","2,37E-10","1,95E-11","1,07E-13","8,25E-13","1,42E-14","2,55E-14","3,51E-10","6,47E-09","1,59E-10","0,0010603234","0,050065801","1,05E-10","6,38E-13","2,85E-17","1,83E-04","1,90E-06","1,66E-04","7,95E-08","1,87E-06","8,29E-07","5,06E-07","8,18E-07","5,97E-08","5,86E-07","1,07E-08","1,04E-07","1,20E-09","1,74E-06","8,62E-06","4,20E-07","1,51E-08",see box A.040.04
"Materials, agricultural, others",kg ,"Soybean oil, crude, degummed at coast USA","0,1076","0,0059","0,0178","0,0191","0,06486","0,0068713577","0,010387852","0,004516172","0,00069733882","3,57E-05","0,00068204225","0,00050157351","0,00010918963","0,017394598","0,0015031543","0,000060440887","8,29E-07",0,"0,4877","5,8864654","5,5534075","0,20376703",0,"0,015636176","0,06780402","0,045850599","0,01157","0,01080","0,00049","0,00028","0,0000006477580014","0,000000001822494813","0,0386833656","4,64E-07","1,40E-09","3,82E-14","2,15E-09","1,18E-12","6,72E-10","1,76E-07","1,03E-10","1,99E-10","1,95E-11","1,05E-13","7,41E-13","1,08E-14","1,93E-14","3,09E-10","4,41E-09","1,00E-10","0,0010342556","0,03764911","1,59E-11","9,68E-14","4,33E-18","2,80E-05","1,57E-06","0,000013598041","5,88E-08","1,63E-06","6,97E-07","5,05E-07","6,10E-07","4,78E-08","4,51E-07","8,79E-09","6,56E-08","1,16E-09","1,44E-06","6,89E-06","3,98E-07","2,28E-09",see box A.040.04
"Materials, agricultural, plant oils ",kg ,Palm oil in Rotterdam,"0,7990","0,0040","0,0202","0,6382","0,13646","0,016091126","0,0037119939","0,0033268776","0,00014610581","1,11E-05","0,00055839414","0,00040055529","0,00016401079","0,024936758","0,003899295","6,09E-01","3,59E-07",0,"1,0260","5,5530327","4,6647209","0,52858095",0,"0,044513835","0,19528187","0,1199352","0,02504","0,02376","0,00104","0,00024","0,000001424758242","0,000000003855156844","0,03317641901","1,10E-06","3,30E-09","9,02E-14","1,20E-11","3,11E-13","4,95E-10","3,25E-07","7,89E-11","3,77E-10","9,45E-12","5,48E-14","7,38E-14","1,70E-13","3,84E-14","3,72E-11","2,97E-09","8,59E-11","0,0000067270066","0,033169692","6,95E-12","4,23E-14","1,89E-18","4,27E-05","2,74E-06","2,86E-05","4,69E-08","2,19E-06","2,64E-07","1,57E-09","4,14E-07","1,50E-08","3,69E-07","2,28E-09","5,60E-08","3,40E-11","1,67E-06","6,27E-06","7,08E-08","9,98E-10",recalculated from USLCI
"Materials, agricultural, plant oils ",kg ,"Rape oil, Europe","0,4653","0,0043","0,3713","0,0089","0,08091","0,0043216973","0,36584666","0,0034473057","0,00049434142","2,65E-05","0,00028575554","0,0011192596","0,00012492602","0,0080286453","0,00066989758","2,96E-05","1,88E-06",0,"0,6084","9,7659717","9,6268644","0,090813594",0,"0,005644599","0,022975461","0,019673685","0,01820","0,01718","0,00080","0,00022","0,00000103011426","0,000000002945802901","0,03057318425","5,94E-07","1,79E-09","4,89E-14","6,62E-09","1,47E-12","5,13E-10","4,26E-07","7,34E-11","9,72E-10","5,24E-11","6,80E-12","5,27E-13","6,61E-15","1,25E-14","2,79E-10","2,14E-09","4,88E-11","0,00094011625","0,029633068","3,65E-11","2,22E-13","9,93E-18","6,80E-05","7,88E-06","1,70E-05","1,31E-07","7,43E-06","2,10E-05","1,36E-06","6,20E-06","3,56E-08","1,89E-07","1,10E-08","3,19E-08","4,76E-10","7,55E-07","4,92E-06","1,06E-06","5,24E-09","Fridrihsone et al. ""Environmental Life Cycle Assessment of Rapeseed and Rapeseed Oil Produced in Northern Europe: A Latvian Case Study"" Sustainability 2020, 12, 5699; doi:10.3390/su12145699 "
"Materials, agricultural, plant oils ",kg ,Soybean oil from Brazil in Rotterdam,"1,6647","0,0082","0,0233","0,8036","0,82957","0,0095413138","0,01297336","0,006285007","0,00094291559","4,86E-05","0,00096427701","0,00073735181","0,0003372849","0,035406429","0,0017800495","0,7660792","6,16E-06",0,"6,2374","8,4751185","8,0842372","0,24130434",0,"0,01900347","0,076980252","0,05359321","0,10638","0,10105","0,00490","0,00043","0,000006057923008","0,00000001812269488","0,0603128889","5,80E-06","1,75E-08","4,78E-13","2,24E-09","1,55E-12","9,35E-10","2,46E-07","1,41E-10","2,81E-10","2,03E-11","1,12E-13","8,75E-13","7,97E-14","3,93E-14","3,73E-10","7,10E-09","1,76E-10","1,11E-03","0,059206802","1,19E-10","7,26E-13","3,25E-17","1,94E-04","2,22E-06","1,74E-04","8,64E-08","2,16E-06","8,80E-07","5,26E-07","8,80E-07","6,52E-08","6,38E-07","1,15E-08","1,15E-07","1,63E-09","1,88E-06","9,96E-06","4,41E-07","1,71E-08",see box A.040.04
"Materials, agricultural, plant oils ",kg ,Soybean oil from USA in Rotterdam,"0,1261","0,0064","0,0200","0,0255","0,07419","0,008339038","0,011120024","0,0048941443","0,0007589465","3,92E-05","0,000752611","0,00055359214","0,00014066065","0,023576742","0,0016740543","6,93E-05","1,39E-06",0,"0,5578","6,842474","6,4718068","0,2269345",0,"0,017438881","0,075255","0,051038808","0,01332","0,01243","0,00056","0,00033","0,000000745267839","0,000000002080538855","0,0462953662","5,30E-07","1,60E-09","4,37E-14","2,23E-09","1,28E-12","7,28E-10","2,07E-07","1,11E-10","2,35E-10","2,03E-11","1,10E-13","7,87E-13","6,19E-14","3,03E-14","3,29E-10","4,95E-09","1,15E-10","0,0010789292","0,045216437","2,68E-11","1,63E-13","7,29E-18","3,19E-05","1,84E-06","1,56E-05","6,49E-08","1,87E-06","7,44E-07","5,25E-07","6,64E-07","5,27E-08","4,98E-07","9,51E-09","7,51E-08","1,59E-09","1,56E-06","8,02E-06","4,18E-07","3,85E-09",see box A.040.04
